,video-id,fold-ind,startphrase,sent1,sent2,gold-source,ending0,ending1,ending2,ending3,ending4,label
0,tt2614684,0,"Sensing danger, Hook flees the apartment, taking with him a sheathed blade. Why does Hook leave Eamon's apartment?","Sensing danger, Hook flees the apartment, taking with him a sheathed blade. ",Why does Hook leave Eamon's apartment?,"Sensing danger, Hook flees the apartment, taking with him a sheathed blade. ",Because he is warned it's not safe.,Because he wants to get some fresh air.,Because he is called away.,Because he has to get some stuff.,Because he senses danger.,4
1,tt2614684,1,"Sensing danger, Hook flees the apartment, taking with him a sheathed blade. What does Hook take from Eamon's apartment as he flees?","Sensing danger, Hook flees the apartment, taking with him a sheathed blade. ",What does Hook take from Eamon's apartment as he flees?,"Sensing danger, Hook flees the apartment, taking with him a sheathed blade. ",A gun and a pack of bullets.,A few bullets.,Food and water supplies.,A knife and a sword.,A sheathed blade.,4
2,tt2614684,2,"Moving painfully through the apartment complex halls and stairways, he eludes the IRA men who have separated to search for him. Finally, unable to get away from Haggerty, who is about to come around a corner and discover him, Hook stabs him. What does Hook do to avoid being discovered by Haggerty?","Moving painfully through the apartment complex halls and stairways, he eludes the IRA men who have separated to search for him. Finally, unable to get away from Haggerty, who is about to come around a corner and discover him, Hook stabs him. ",What does Hook do to avoid being discovered by Haggerty?,"Moving painfully through the apartment complex halls and stairways, he eludes the IRA men who have separated to search for him. Finally, unable to get away from Haggerty, who is about to come around a corner and discover him, Hook stabs him. ",He jumps on him.,He hides in a bin.,He stabs him.,He shoots him.,He blinds him with a flashlight.,2
3,tt2614684,3,"As the wounded man lies dying, Hook reaches down and grasps his shoulder, sharing strength and sympathy as they hold each other's gaze and the IRA man dies. What does Hook do after stabbing Haggerty?","As the wounded man lies dying, Hook reaches down and grasps his shoulder, sharing strength and sympathy as they hold each other's gaze and the IRA man dies. ",What does Hook do after stabbing Haggerty?,"As the wounded man lies dying, Hook reaches down and grasps his shoulder, sharing strength and sympathy as they hold each other's gaze and the IRA man dies. ",He comforts Haggerty for a while and then goes away.,He holds him in his arms while Haggerty slowly dies.,He grasps his shoulder and looks him in the eyes.,He runes away and cries for help.,He waits until Haggerty dies and then closes his eyes.,2
4,tt2614684,4,Quinn and his IRA squad have been tailing Boyle since the pub explosion and saw him visit Eamon's apartment without knowing why he was there. Who has followed Boyle to Eamon's apartment?,Quinn and his IRA squad have been tailing Boyle since the pub explosion and saw him visit Eamon's apartment without knowing why he was there. ,Who has followed Boyle to Eamon's apartment?,Quinn and his IRA squad have been tailing Boyle since the pub explosion and saw him visit Eamon's apartment without knowing why he was there. ,Thommo and his IRA squad.,Darren and his IRE squad.,Gary and his allies.,Quinn and his IRA squad.,Jimmy and his friends.,3
5,tt2614684,5,"A Protestant youngster brings Hook to a local pub that serves as a front for the Loyalists, where he glimpses a Loyalist group in a back room constructing a bomb under the guidance of the Military Reaction Force, the covert counter-insurgency unit of the British Army. Who is helping the Loyalists make the bomb?","A Protestant youngster brings Hook to a local pub that serves as a front for the Loyalists, where he glimpses a Loyalist group in a back room constructing a bomb under the guidance of the Military Reaction Force, the covert counter-insurgency unit of the British Army. ",Who is helping the Loyalists make the bomb?,"A Protestant youngster brings Hook to a local pub that serves as a front for the Loyalists, where he glimpses a Loyalist group in a back room constructing a bomb under the guidance of the Military Reaction Force, the covert counter-insurgency unit of the British Army. ",Civilians,No one,The Catholic Ex-Serviceman's Association,The Irish Republican Army,The Military Reaction Force,4
6,tt2614684,6,Hook steps outside the pub just before an enormous explosion destroys the building. What happens just as Hook leaves the pub?,Hook steps outside the pub just before an enormous explosion destroys the building. ,What happens just as Hook leaves the pub?,Hook steps outside the pub just before an enormous explosion destroys the building. ,An explosion destroys the building next-door to the pub,An explosion destroys the pub,A shootout erupts inside the pub,Some guys get into a fight,A shootout erupts just outside the pub,1
7,tt2614684,7,Hook steps outside the pub just before an enormous explosion destroys the building. Hook flees once more into the dark streets. How does Hook react to the explosion?,Hook steps outside the pub just before an enormous explosion destroys the building. Hook flees once more into the dark streets. ,How does Hook react to the explosion?,Hook steps outside the pub just before an enormous explosion destroys the building. Hook flees once more into the dark streets. ,He flees into the building next door,He goes back into the pub to check for survivors and help the wounded,He finds a payphone and calls the police,He flees into the street,He yells for help,3
8,tt2614684,8,"A Protestant youngster brings Hook to a local pub that serves as a front for the Loyalists, where he glimpses a Loyalist group in a back room constructing a bomb under the guidance of the Military Reaction Force, the covert counter-insurgency unit of the British Army. What does Hook see at the local pub?","A Protestant youngster brings Hook to a local pub that serves as a front for the Loyalists, where he glimpses a Loyalist group in a back room constructing a bomb under the guidance of the Military Reaction Force, the covert counter-insurgency unit of the British Army. ",What does Hook see at the local pub?,"A Protestant youngster brings Hook to a local pub that serves as a front for the Loyalists, where he glimpses a Loyalist group in a back room constructing a bomb under the guidance of the Military Reaction Force, the covert counter-insurgency unit of the British Army. ",A bar fight,A Loyalist group getting drunk in a back room,A Loyalist group constructing a bomb in a back room,A Loyalist group torturing people in a back room,A Loyalist group constructing a gun in a back room,2
9,tt2614684,9,"Two Catholics, Eamon and his daughter Brigid, discover Hook as he lies unconscious in the street. Who finds Hook unconscious in the street?","Two Catholics, Eamon and his daughter Brigid, discover Hook as he lies unconscious in the street. ",Who finds Hook unconscious in the street?,"Two Catholics, Eamon and his daughter Brigid, discover Hook as he lies unconscious in the street. ",Two MRF members,Two tourists,Two Catholics,Two IRA members,Two Protestants,2
10,tt2614684,10,"Hook sees the other soldier shot dead at point blank range by the young Nationalist Paul Haggerty and then, with the crowd physically engaging Haggerty, flees through streets and back alleys, finally eluding his pursuers and hiding until dark. What does Hook do after witnessing another soldier get shot by Haggerty?","Hook sees the other soldier shot dead at point blank range by the young Nationalist Paul Haggerty and then, with the crowd physically engaging Haggerty, flees through streets and back alleys, finally eluding his pursuers and hiding until dark. ",What does Hook do after witnessing another soldier get shot by Haggerty?,"Hook sees the other soldier shot dead at point blank range by the young Nationalist Paul Haggerty and then, with the crowd physically engaging Haggerty, flees through streets and back alleys, finally eluding his pursuers and hiding until dark. ",He flees through the streets and hides until dark,He goes to the police and tells them what happened,He rushes to the other soldier's aid,He runs into the nearest building and asks someone to call for an ambulance,He shoots Haggerty,0
11,tt2614684,11,"Unaware that the Loyalists have blown themselves up, each of the two IRA factions charges the other with responsibility for the bombing. Who is actually responsible for the bombing?","Unaware that the Loyalists have blown themselves up, each of the two IRA factions charges the other with responsibility for the bombing. ",Who is actually responsible for the bombing?,"Unaware that the Loyalists have blown themselves up, each of the two IRA factions charges the other with responsibility for the bombing. ",The anarchists.,One faction of the IRA.,The Loyalists.,The British Army.,The IRA.,2
12,tt2614684,12,"Unaware that the Loyalists have blown themselves up, each of the two IRA factions charges the other with responsibility for the bombing. Who is responsible for the bombing according to the two opposing factions?","Unaware that the Loyalists have blown themselves up, each of the two IRA factions charges the other with responsibility for the bombing. ",Who is responsible for the bombing according to the two opposing factions?,"Unaware that the Loyalists have blown themselves up, each of the two IRA factions charges the other with responsibility for the bombing. ","According to them, the army is responsible.","According to them, the Muslim terrorists are responsible.","According to them, the Loyalists are responsible.",The two factions are blaming each other for the bombing.,They believe that the anarchists are responsible.,3
13,tt2614684,13,"Gary Hook, a new recruit to the British Army, takes leave of his much younger brother Darren. What is the name of Hook's younger brother?","Gary Hook, a new recruit to the British Army, takes leave of his much younger brother Darren. ",What is the name of Hook's younger brother?,"Gary Hook, a new recruit to the British Army, takes leave of his much younger brother Darren. ",His name is Carl.,His name is Darren.,His name is Jimmy.,His name is David.,His name is Tom.,1
14,tt2614684,14,Hook's squad of British soldiers is sent to Belfast in 1971 in the early years of The Troubles. Where is Hook's squad sent to?,Hook's squad of British soldiers is sent to Belfast in 1971 in the early years of The Troubles. ,Where is Hook's squad sent to?,Hook's squad of British soldiers is sent to Belfast in 1971 in the early years of The Troubles. ,His squad is sent to Wales.,His squad is sent to Edinburgh.,His squad is sent to Belfast.,His squad is sent to Newcastle.,His squad is sent to Dublin.,2
15,tt2614684,15,Hook's squad of British soldiers is sent to Belfast in 1971 in the early years of The Troubles. In which year is Hook's squad sent to Belfast?,Hook's squad of British soldiers is sent to Belfast in 1971 in the early years of The Troubles. ,In which year is Hook's squad sent to Belfast?,Hook's squad of British soldiers is sent to Belfast in 1971 in the early years of The Troubles. ,It is sent to Belfast in 1972.,It is sent to Belfast in 1971.,It is sent to Belfast in 1973.,It is sent to Belfast in 1969.,It is sent to Belfast in 1970.,1
16,tt2614684,16,"Hook's squad of British soldiers is sent to Belfast in 1971 in the early years of The Troubles. Under the leadership of the inexperienced Lieutenant Armitage, his squad goes to a volatile area of Belfast where Catholic Nationalists and Protestant Loyalists live side by side. Who is Hook's squad's leader?","Hook's squad of British soldiers is sent to Belfast in 1971 in the early years of The Troubles. Under the leadership of the inexperienced Lieutenant Armitage, his squad goes to a volatile area of Belfast where Catholic Nationalists and Protestant Loyalists live side by side. ",Who is Hook's squad's leader?,"Hook's squad of British soldiers is sent to Belfast in 1971 in the early years of The Troubles. Under the leadership of the inexperienced Lieutenant Armitage, his squad goes to a volatile area of Belfast where Catholic Nationalists and Protestant Loyalists live side by side. ",Its leader is Lieutenant Lewis.,Its leader is Captain Browning.,Its leader is Capt. Leslie Lewis.,Its leader is Lieutenant Browning.,Its leader is Lieutenant Armitage.,4
17,tt2614684,17,"Gary Hook, a new recruit to the British Army, takes leave of his much younger brother Darren. What is Gary Hook's profession?","Gary Hook, a new recruit to the British Army, takes leave of his much younger brother Darren. ",What is Gary Hook's profession?,"Gary Hook, a new recruit to the British Army, takes leave of his much younger brother Darren. ",He is a doctor.,He is an architect.,He is a firefighter.,He is a Catholic priest.,He is a soldier.,4
18,tt2614684,18,Hook is captured by Quinn's group and taken to a hideout. Where is Hook taken after being captured?,Hook is captured by Quinn's group and taken to a hideout. ,Where is Hook taken after being captured?,Hook is captured by Quinn's group and taken to a hideout. ,He is taken to be tried by the martial court.,He is taken to the police.,He is taken to prison.,He is taken to a clinic.,He is taken to a hideout.,4
19,tt2614684,19,"Quinn orders Sean, a young teen whom Quinn has recruited, to execute Hook. Whom does Quinn order to kill Hook?","Quinn orders Sean, a young teen whom Quinn has recruited, to execute Hook. ",Whom does Quinn order to kill Hook?,"Quinn orders Sean, a young teen whom Quinn has recruited, to execute Hook. ",He orders it to Browning.,"He orders Sean, a young recruit, to kill Hook.",He orders it to Lewis.,"He doesn't order it to anyone, he kills Hook himself.",He orders it to Lt. Armitage.,1
20,tt2614684,20,Hook is captured by Quinn's group and taken to a hideout. What happens to Hook?,Hook is captured by Quinn's group and taken to a hideout. ,What happens to Hook?,Hook is captured by Quinn's group and taken to a hideout. ,He is shot and injured by Sean.,He is captured by Quinn's group.,He is shot dead by Quinn.,He is attacked by Browning's group.,"He is executed by Sean, a young Quinn's recruit.",1
21,tt2614684,21,"Later, despite a formal complaint by Armitage, the officer in charge dismisses the incident between Hook, Lewis, and Sean as a confused situation that merits no further inquiry. Who posts a formal complaint about the incident involving Hook, Lewis and Sean?","Later, despite a formal complaint by Armitage, the officer in charge dismisses the incident between Hook, Lewis, and Sean as a confused situation that merits no further inquiry. ","Who posts a formal complaint about the incident involving Hook, Lewis and Sean?","Later, despite a formal complaint by Armitage, the officer in charge dismisses the incident between Hook, Lewis, and Sean as a confused situation that merits no further inquiry. ",Armitage,Darren,Browning,Carl,Jimmy,0
22,tt2614684,22,"Later, despite a formal complaint by Armitage, the officer in charge dismisses the incident between Hook, Lewis, and Sean as a confused situation that merits no further inquiry. How does the officer in charge respond to Armitage's complaint?","Later, despite a formal complaint by Armitage, the officer in charge dismisses the incident between Hook, Lewis, and Sean as a confused situation that merits no further inquiry. ",How does the officer in charge respond to Armitage's complaint?,"Later, despite a formal complaint by Armitage, the officer in charge dismisses the incident between Hook, Lewis, and Sean as a confused situation that merits no further inquiry. ","The officer discharges the incident between Hook, Lewis, and Sean as a unclear situation that merits no further inquiry","The officer dismisses the accident between Hook, Lewis, and Sean as a imperfect situation that merits no further inquiry","The officer dismisses the accident between Hook, Lewis, and Sean as a confused situation that merits no further inquiry","The officer dismisses the accident between Hook, Lewis, and Sean as a vague situation that merits no further inquiry","The officer dismisses the incident between Hook, Lewis, and Sean as a confused situation that merits no further inquiry",4
23,tt2614684,23,Hook returns to England and reunites with Darren. What is Hook's next step?,Hook returns to England and reunites with Darren. ,What is Hook's next step?,Hook returns to England and reunites with Darren. ,Hook returns to Derbyshire and reunites with Brigid.,Hook returns to London and reunites with Darren.,Hook returns to South Yorkshire and reunites with Boyle.,Hook returns to England and reunites with Darren.,Hook returns to Durham and reunites with Carl.,3
24,tt2614684,24,Hook returns to his barracks. What happens after the fight?,Hook returns to his barracks. ,What happens after the fight?,Hook returns to his barracks. ,Hook returns to his barracks,Hook returns to his fort,Hook returns to his billet,Hook returns to his camp,Hook returns to his quarters,0
25,tt2614684,25,"Under the leadership of the inexperienced Lieutenant Armitage, his squad goes to a volatile area of Belfast where Catholic Nationalists and Protestant Loyalists live side by side. What is the situation like in Belfast?","Under the leadership of the inexperienced Lieutenant Armitage, his squad goes to a volatile area of Belfast where Catholic Nationalists and Protestant Loyalists live side by side. ",What is the situation like in Belfast?,"Under the leadership of the inexperienced Lieutenant Armitage, his squad goes to a volatile area of Belfast where Catholic Nationalists and Protestant Loyalists live side by side. ",The situation in Belfast is glassy,The situation in Belfast is peaceful,The situation in Belfast is volatile,The situation in Belfast is constant,The situation in Belfast is comfortable,2
26,tt2614684,26,"The Catholic neighbourhood has been alerted to the activity and a crowd gathers to protest and provoke the British troops who, though heavily armed, can only respond by trying to hold the crowd back. Which group protests the presence of the british troops?","The Catholic neighbourhood has been alerted to the activity and a crowd gathers to protest and provoke the British troops who, though heavily armed, can only respond by trying to hold the crowd back. ",Which group protests the presence of the british troops?,"The Catholic neighbourhood has been alerted to the activity and a crowd gathers to protest and provoke the British troops who, though heavily armed, can only respond by trying to hold the crowd back. ",The Catholic neighbourhood protests the presence of the british troops,The Catholic and Loyalists neighbourhood protests the presence of the british troops,The Loyalists neighbourhood protests the presence of the british troops,The youths in the neighbourhood protests the presence of the british troops,The adults in the neighbourhood protests the presence of the british troops,0
27,tt2614684,27,"The unit provides support for the Royal Ulster Constabulary as it inspects homes for firearms, shocking Hook with their rough treatment of women and children. What is Hook shocked to see as he carries oout his duties?","The unit provides support for the Royal Ulster Constabulary as it inspects homes for firearms, shocking Hook with their rough treatment of women and children. ",What is Hook shocked to see as he carries oout his duties?,"The unit provides support for the Royal Ulster Constabulary as it inspects homes for firearms, shocking Hook with their rough treatment of women and children. ",Hook shocked to see their refined treatment of women and children.,Hook shocked to see their gentle treatment of women and children.,Hook shocked to see their rough treatment of women and children.,Hook shocked to see their regular treatment of women and children.,Hook shocked to see their even treatment of women and children.,2
28,tt2614684,28,"The unit provides support for the Royal Ulster Constabulary as it inspects homes for firearms, shocking Hook with their rough treatment of women and children. What is the role of Hook's unit?","The unit provides support for the Royal Ulster Constabulary as it inspects homes for firearms, shocking Hook with their rough treatment of women and children. ",What is the role of Hook's unit?,"The unit provides support for the Royal Ulster Constabulary as it inspects homes for firearms, shocking Hook with their rough treatment of women and children. ",The unit provides support for the Royal Ulster Academy,The unit provides support for the Royal Newfoundland Constabulary,The unit provides support for the Royal Irish Constabulary,The unit provides support for the Royal Ulster Constabulary,The unit provides support for the Royal Parks Constabulary,3
29,tt2614684,29,"The Catholic neighbourhood has been alerted to the activity and a crowd gathers to protest and provoke the British troops who, though heavily armed, can only respond by trying to hold the crowd back. How do the British troops react to the protestors?","The Catholic neighbourhood has been alerted to the activity and a crowd gathers to protest and provoke the British troops who, though heavily armed, can only respond by trying to hold the crowd back. ",How do the British troops react to the protestors?,"The Catholic neighbourhood has been alerted to the activity and a crowd gathers to protest and provoke the British troops who, though heavily armed, can only respond by trying to hold the crowd back. ",British troops can only respond by trying to draw the crowd back,British troops can only respond by trying to release the crowd back,British troops can only respond by trying to hold the crowd back,British troops can only respond by trying to overlook the crowd back,British troops can only respond by trying to move the crowd back,2
30,tt2614684,30,"Under the leadership of the inexperienced Lieutenant Armitage, his squad goes to a volatile area of Belfast where Catholic Nationalists and Protestant Loyalists live side by side. Which two opposing groups live in Belfast?","Under the leadership of the inexperienced Lieutenant Armitage, his squad goes to a volatile area of Belfast where Catholic Nationalists and Protestant Loyalists live side by side. ",Which two opposing groups live in Belfast?,"Under the leadership of the inexperienced Lieutenant Armitage, his squad goes to a volatile area of Belfast where Catholic Nationalists and Protestant Loyalists live side by side. ",Loyalists Catholic and Protestant Nonconformists,Catholic Nationalists and Protestant Nonconformists,Catholic Nationalists and Protestant Loyalists,Catholic Modernists and Protestant Loyalists,Catholic Modernists and Protestant Christian,2
31,tt2614684,31,Lewis attempts to strangle Hook to prevent him from informing others of the bomb. Why does Lewis try to strangle Hook?,Lewis attempts to strangle Hook to prevent him from informing others of the bomb. ,Why does Lewis try to strangle Hook?,Lewis attempts to strangle Hook to prevent him from informing others of the bomb. ,To prevent him from informing others of the secret mission.,To prevent him from killing the civilians,To prevent him from informing others of the bomb.,To prevent him from informing others of his secret identity.,To prevent him from detonating the bomb.,2
32,tt2614684,32,"When Sean hesitates, Quinn prepares to execute Hook. Browning's group arrives, and Lewis, to Hook's horror, shoots Sean. How does Hook surive?","When Sean hesitates, Quinn prepares to execute Hook. Browning's group arrives, and Lewis, to Hook's horror, shoots Sean. ",How does Hook surive?,"When Sean hesitates, Quinn prepares to execute Hook. Browning's group arrives, and Lewis, to Hook's horror, shoots Sean. ","Lewis to Hook's horror, shoots Carl","Lewis to Hook's horror, shoots Jimmy","Lewis to Hook's horror, shoots Sean","Lewis to Hook's horror, shoots Quinn","Lewis to Hook's horror, shoots Armitage",2
33,tt2614684,33,"Browning finds Quinn and, rather than arrest him, tells him Boyle wants him dead. What does Browning do when he finds Quinn?","Browning finds Quinn and, rather than arrest him, tells him Boyle wants him dead. ",What does Browning do when he finds Quinn?,"Browning finds Quinn and, rather than arrest him, tells him Boyle wants him dead. ",Browning tells him Jimmy wants him dead,Browning tells him Boyle wants him alive,Browning tells him Armitage wants him dead,Browning tells him Armitage wants him alive,Browning tells him Boyle wants him dead,4
34,tt2614684,34,Sean raises himself and fires at Lewis before being shot by Armitage. Who kills Sean?,Sean raises himself and fires at Lewis before being shot by Armitage. ,Who kills Sean?,Sean raises himself and fires at Lewis before being shot by Armitage. ,Quinn,Boyle,Armitage,Hook,Carl,2
35,tt2614684,35,Sean raises himself and fires at Lewis before being shot by Armitage. Who shoots at Lewis?,Sean raises himself and fires at Lewis before being shot by Armitage. ,Who shoots at Lewis?,Sean raises himself and fires at Lewis before being shot by Armitage. ,Armitage,Quinn,Boyle,Sean,Hook,3
36,tt2614684,36,"Browning's group arrives, and Lewis, to Hook's horror, shoots Sean. Who shoots Sean?","Browning's group arrives, and Lewis, to Hook's horror, shoots Sean. ",Who shoots Sean?,"Browning's group arrives, and Lewis, to Hook's horror, shoots Sean. ",Armitage,Jimmy,Boyle,Quinn,Lewis,4
37,tt2614684,37,"As Lieutenant Armitage and his men enter in support of Browning, Armitage sees Lewis' attempt to kill Hook. What does Lt. Armitage see when his unit comes in to support Browning?","As Lieutenant Armitage and his men enter in support of Browning, Armitage sees Lewis' attempt to kill Hook. ",What does Lt. Armitage see when his unit comes in to support Browning?,"As Lieutenant Armitage and his men enter in support of Browning, Armitage sees Lewis' attempt to kill Hook. ",Armitage sees Carl' attempt to kill Hook,Armitage sees Lewis' attempt to kill Hook,Armitage sees Sean' attempt to kill Hook,Armitage sees Boyle' attempt to kill Hook,Armitage sees Quinn' attempt to kill Hook,1
